ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,9.06,8.77
2,2417,8.98,8.76
3,2422,8.94,8.73
4,2427,8.82,8.78
5,2432,8.71,8.63
6,2437,8.75,8.61
7,2442,8.69,8.75
8,2447,8.8,8.54
9,2452,8.73,6.61
10,2457,8.88,8.66
11,2462,8.78,8.55
12,2467,8.8,8.75
13,2472,8.8,8.66
16,5080,12.39,12.48
34,5170,12.39,12.19
36,5180,12.07,11.7
38,5190,11.8,11.43
40,5200,11.49,11.17
42,5210,11.46,11.02
44,5220,11.46,11.02
46,5230,11.5,11.11
48,5240,11.8,11.36
50,5250,11.94,11.71
52,5260,12.16,11.85
54,5270,12.26,11.91
56,5280,12.26,11.98
58,5290,12.33,11.98
60,5300,12.29,12.1
62,5310,12.36,12.05
64,5320,12.44,12.17
100,5500,13.36,12.44
102,5510,13.13,12.39
104,5520,12.96,12.19
106,5530,12.53,11.9
108,5540,12.48,11.88
110,5550,12.63,12.04
112,5560,12.69,12.19
114,5570,12.69,12.25
116,5580,12.61,12.19
118,5590,12.43,12.17
120,5600,12.42,12.14
122,5610,12.61,12.33
124,5620,12.95,12.85
126,5630,13.48,13.45
128,5640,14.01,14.02
132,5660,14.91,15.13
134,5670,15.24,15.42
136,5680,15.07,15.46
138,5690,14.8,15.24
140,5700,14.32,14.84
142,5710,14.09,14.52
144,5720,13.84,14.26
149,5745,13.57,13.84
151,5755,13.36,13.64
153,5765,13.2,13.24
155,5775,12.94,13.08
157,5785,12.85,13.1
159,5795,12.91,12.94
161,5805,12.83,12.64
165,5825,12.63,12.08
169,5845,12.42,11.7
173,5865,12.13,11.04
184,4920,11.68,11.75
