ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,8.84,8.74
2,2417,8.82,8.77
3,2422,8.77,8.74
4,2427,8.66,8.65
5,2432,8.57,8.58
6,2437,8.56,8.64
7,2442,8.71,8.65
8,2447,8.66,8.63
9,2452,8.76,6.66
10,2457,8.66,8.57
11,2462,8.84,8.64
12,2467,8.67,8.64
13,2472,8.8,8.68
16,5080,12.27,12.53
34,5170,12.29,12.13
36,5180,11.97,11.71
38,5190,11.69,11.36
40,5200,11.41,11.11
42,5210,11.36,11.02
44,5220,11.37,10.97
46,5230,11.48,11.09
48,5240,11.62,11.35
50,5250,11.92,11.68
52,5260,12.07,11.8
54,5270,12.19,12
56,5280,12.25,12.12
58,5290,12.27,12.03
60,5300,12.3,12.01
62,5310,12.27,11.97
64,5320,12.37,12.17
100,5500,13.3,12.55
102,5510,13.1,12.46
104,5520,12.98,12.27
106,5530,12.59,12
108,5540,12.48,11.95
110,5550,12.55,12.11
112,5560,12.7,12.26
114,5570,12.69,12.33
116,5580,12.54,12.23
118,5590,12.48,12.18
120,5600,12.35,12.19
122,5610,12.57,12.38
124,5620,12.9,12.88
126,5630,13.52,13.48
128,5640,13.98,14.06
132,5660,14.9,15.13
134,5670,15.14,15.43
136,5680,15.03,15.42
138,5690,14.77,15.14
140,5700,14.32,14.82
142,5710,14.03,14.53
144,5720,13.84,14.33
149,5745,13.62,13.86
151,5755,13.43,13.61
153,5765,13.16,13.33
155,5775,12.89,13.1
157,5785,12.86,13.22
159,5795,12.85,12.96
161,5805,12.91,12.7
165,5825,12.65,12.12
169,5845,12.45,11.57
173,5865,12.14,11.04
184,4920,11.66,11.78
