Channel,Freq,Anten1,Anten2
1,2412,0,0
2,2417,0,0
3,2422,0,0
4,2427,0,0
5,2432,0,0
6,2437,0,0
7,2442,0,0
8,2447,0,0
9,2452,0,0
10,2457,0,0
11,2462,0,0
12,2467,0,0
13,2472,0,0
16,5080,0,0
34,5170,0,0
36,5180,0,0
38,5190,0,0
40,5200,0,0
42,5210,0,0
44,5220,0,0
46,5230,0,0
48,5240,0,0
50,5250,0,0
52,5260,0,0
54,5270,0,0
56,5280,0,0
58,5290,0,0
60,5300,0,0
62,5310,0,0
64,5320,0,0
100,5500,0,0
102,5510,0,0
104,5520,0,0
106,5530,0,0
108,5540,0,0
110,5550,0,0
112,5560,0,0
114,5570,0,0
116,5580,0,0
118,5590,0,0
120,5600,0,0
122,5610,0,0
124,5620,0,0
126,5630,0,0
128,5640,0,0
132,5660,0,0
134,5670,0,0
136,5680,0,0
138,5690,0,0
140,5700,0,0
142,5710,0,0
144,5720,0,0
149,5745,0,0
151,5755,0,0
153,5765,0,0
155,5775,0,0
157,5785,0,0
159,5795,0,0
161,5805,0,0
165,5825,0,0
169,5845,0,0
173,5865,0,0
184,4920,0,0
