RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
2G,802.11b,0,23.5,19.5,35%,-,13000,-13000,-,-
2G,802.11b,1,-,-,-,-,13000,-13000,-,-
2G,802.11b,2,-,-,-,-,13000,-13000,-,-
2G,802.11b,3,23.5,19.5,35%,-,13000,-13000,-,-
2G,802.11g,0,22.5,18.5,-5,-,13000,-13000,-,-
2G,802.11g,1,-,-,-,-,13000,-13000,-,-
2G,802.11g,2,-,-,-,-,13000,-13000,-,-
2G,802.11g,3,-,-,-,-,13000,-13000,-,-
2G,802.11g,4,-,-,-,-,13000,-13000,-,-
2G,802.11g,5,-,-,-,-,13000,-13000,-,-
2G,802.11g,6,-,-,-,-,13000,-13000,-,-
2G,802.11g,7,20.5,16.5,-25,-,13000,-13000,-,-
2G,802.11nHT20,0,21.5,17.5,-5,-,13000,-13000,-,-
2G,802.11nHT20,1,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,2,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,3,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,4,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,5,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,6,-,-,-,-,13000,-13000,-,-
2G,802.11nHT20,7,21.5,17.5,-27,-,13000,-13000,-,-
2G,802.11nHT40,0,21.5,17.5,-5,-,13000,-13000,-,-
2G,802.11nHT40,1,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,2,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,3,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,4,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,5,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,6,-,-,-,-,13000,-13000,-,-
2G,802.11nHT40,7,20.5,15.5,-27,-,13000,-13000,-,-
5G,802.11g,0,21.5,17.5,-5,-,23000,-23000,-,-
5G,802.11g,1,-,-,-,-,23000,-23000,-,-
5G,802.11g,2,-,-,-,-,23000,-23000,-,-
5G,802.11g,3,-,-,-,-,23000,-23000,-,-
5G,802.11g,4,-,-,-,-,23000,-23000,-,-
5G,802.11g,5,-,-,-,-,23000,-23000,-,-
5G,802.11g,6,-,-,-,-,23000,-23000,-,-
5G,802.11g,7,19,15,-25,-,23000,-23000,-,-
5G,802.11nHT20,0,20.5,16.5,-5,-,23000,-23000,-,-
5G,802.11nHT20,1,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,2,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,3,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,4,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,5,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,6,-,-,-,-,23000,-23000,-,-
5G,802.11nHT20,7,19,14,-27,-,23000,-23000,-,-
5G,802.11nHT40,0,20.5,16.5,-5,-,23000,-23000,-,-
5G,802.11nHT40,1,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,2,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,3,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,4,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,5,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,6,-,-,-,-,23000,-23000,-,-
5G,802.11nHT40,7,19,14,-27,-,23000,-23000,-,-
5G,802.11acHT20,0,20.5,16.5,-5,-,23000,-23000,-,-
5G,802.11acHT20,1,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,2,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,3,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,4,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,5,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,6,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,7,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,8,-,-,-,-,23000,-23000,-,-
5G,802.11acHT20,9,18,13,-32,-,23000,-23000,-,-
5G,802.11acHT40,0,20.5,16.5,-5,-,23000,-23000,-,-
5G,802.11acHT40,1,-,-,-,-,23000,-23000,-,-
