ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,9.816,9.863
2,2417,9.894,10.186
3,2422,9.942,10.278
4,2427,10.022,10.552
5,2432,10.351,10.644
6,2437,10.33,10.841
7,2442,10.289,10.9
8,2447,10.376,10.666
9,2452,10.179,10.398
10,2457,10.24,10.656
11,2462,10.332,10.266
12,2467,10.155,10.37
13,2472,10.24,10.222
184,4920,11.012,12.654
16,5080,12.019,12.712
36,5180,12.193,12.561
40,5200,11.622,11.864
44,5220,11.415,11.145
48,5240,11.954,11.644
52,5260,12.476,12.452
56,5280,12.63,12.1
60,5300,12.084,11.752
64,5320,11.612,11.501
100,5500,10.68,11.538
104,5520,10.793,11.844
108,5540,11.222,12.096
112,5560,12.519,13.288
116,5580,13.463,13.886
120,5600,14.756,14.848
124,5620,14.696,14.616
128,5640,13.394,13.57
132,5660,12.518,12.97
136,5680,11.916,12.516
140,5700,11.698,12.83
144,5720,12.862,13.977
149,5745,14.033,15.262
153,5765,15.004,15.198
157,5785,14.912,14.835
161,5805,14.639,13.468
165,5825,13.289,13.243
