ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,10.491,10.508
2,2417,10.503,10.529
3,2422,10.447,10.484
4,2427,10.398,10.448
5,2432,10.331,10.373
6,2437,10.263,10.303
7,2442,10.234,10.266
8,2447,10.192,10.212
9,2452,10.19,10.202
10,2457,10.23,10.237
11,2462,10.28,10.287
12,2467,10.396,10.402
13,2472,10.497,10.507
16,5080,12.473,12.436
34,5170,12.222,12.116
36,5180,12.508,12.356
38,5190,12.561,12.398
40,5200,12.372,12.24
42,5210,12.041,11.952
44,5220,11.967,11.876
46,5230,12.063,11.942
48,5240,12.299,12.239
50,5250,12.556,12.625
52,5260,12.594,12.712
54,5270,12.478,12.455
56,5280,12.136,11.837
58,5290,11.78,11.291
60,5300,11.717,11.281
62,5310,11.882,11.475
64,5320,11.979,11.419
100,5500,11.626,11.691
102,5510,11.785,11.889
104,5520,11.791,11.831
106,5530,11.583,11.59
108,5540,11.555,11.577
110,5550,11.91,11.939
112,5560,12.269,12.259
114,5570,12.487,12.424
116,5580,12.73,12.63
118,5590,13.15,13.031
120,5600,13.659,13.504
122,5610,13.911,13.739
124,5620,13.899,13.713
126,5630,13.632,13.433
128,5640,13.468,13.271
132,5660,13.447,13.251
134,5670,13.417,13.251
136,5680,13.227,13.121
138,5690,12.845,12.821
140,5700,12.443,12.512
142,5710,12.264,12.409
144,5720,12.482,12.742
149,5745,13.394,13.827
151,5755,13.408,13.693
153,5765,13.102,13.144
155,5775,12.714,12.563
157,5785,12.698,12.427
159,5795,12.938,12.501
161,5805,13.209,12.514
165,5825,12.544,11.583
169,5845,11.931,11.277
173,5865,12.426,11.687
184,4920,11.129,11.691
