ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,9.606,9.683
2,2417,9.604,9.686
3,2422,9.512,9.718
4,2427,9.442,9.882
5,2432,9.621,9.644
6,2437,9.38,9.581
7,2442,9.189,9.54
8,2447,9.306,9.306
9,2452,9.159,9.128
10,2457,9.19,9.476
11,2462,9.212,9.346
12,2467,9.345,9.56
13,2472,9.39,9.702
8,5040,11,11
12,5060,11,11
16,5080,11.639,11.792
34,5170,11.386,11.334
36,5180,11.583,11.611
38,5190,11.648,11.522
40,5200,11.482,11.364
42,5210,11.21,11.187
44,5220,11.105,10.705
46,5230,10.77,10.626
48,5240,11.024,10.834
50,5250,11.199,11.226
52,5260,11.566,11.622
54,5270,11.579,11.595
56,5280,11.52,11.01
58,5290,11.028,10.504
60,5300,11.014,10.392
62,5310,11.14,10.475
64,5320,11.292,10.531
100,5500,11.1,11.018
102,5510,11.224,11.332
104,5520,10.983,11.224
106,5530,10.962,11.075
108,5540,11.042,10.976
110,5550,11.194,11.509
112,5560,11.639,11.828
114,5570,11.744,11.777
116,5580,11.803,11.716
118,5590,12.011,12.039
120,5600,12.386,12.398
122,5610,12.591,12.69
124,5620,12.666,12.636
126,5630,12.679,12.55
128,5640,12.364,12.31
132,5660,11.728,11.72
134,5670,11.584,11.58
136,5680,11.886,11.856
138,5690,11.954,12.026
140,5700,12.088,12.13
142,5710,11.991,11.998
144,5720,11.842,12.167
149,5745,12.483,12.862
151,5755,12.656,13.05
153,5765,12.884,12.878
155,5775,12.752,12.41
157,5785,12.732,12.385
159,5795,12.738,12.307
161,5805,12.749,11.198
165,5825,12.169,11.243
169,5845,11.318,10.633
173,5865,11.41,10.09
184,4920,10.612,11.334
188,4940,11,11
192,4960,11,11
196,4980,11,11
