RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11g,MCS7,20,1,17.5~22,20.04,-25,-34.2,-2694,PASS
2G,1,802.11g,MCS7,20,2,17.5~22,19.74,-25,-34.5,-2708,PASS
2G,1,802.11g,MCS7,20,3,17.5~22,19.5,-25,-35.2,-2767,PASS
2G,1,802.11g,MCS7,20,4,17.5~22,19.08,-25,-35.7,-2760,PASS
2G,1,802.11g,MCS7,20,5,17.5~22,18.9,-25,-36.2,-2735,PASS
2G,1,802.11g,MCS7,20,6,17.5~22,18.76,-25,-36.8,-2871,PASS
2G,1,802.11g,MCS7,20,7,17.5~22,19.66,-25,-35.3,-2779,PASS
2G,1,802.11g,MCS7,20,8,17.5~22,19.43,-25,-35.7,-2760,PASS
2G,1,802.11g,MCS7,20,9,17.5~22,19.28,-25,-36.4,-2781,PASS
2G,1,802.11g,MCS7,20,10,17.5~22,19.14,-25,-36.9,-2848,PASS
2G,1,802.11g,MCS7,20,11,17.5~22,19.91,-25,-34,-2832,PASS
2G,1,802.11g,MCS7,20,12,17.5~22,19.75,-25,-34.9,-2899,PASS
2G,1,802.11g,MCS7,20,13,17.5~22,19.53,-25,-35.6,-2904,PASS
2G,2,802.11g,MCS7,20,1,17.5~22,19.61,-25,-32.5,-2836,PASS
2G,2,802.11g,MCS7,20,2,17.5~22,19.72,-25,-32.3,-2910,PASS
2G,2,802.11g,MCS7,20,3,17.5~22,19.44,-25,-32.5,-2871,PASS
2G,2,802.11g,MCS7,20,4,17.5~22,19.54,-25,-32.5,-2832,PASS
2G,2,802.11g,MCS7,20,5,17.5~22,19.49,-25,-32.8,-2865,PASS
2G,2,802.11g,MCS7,20,6,17.5~22,19.58,-25,-32.8,-2972,PASS
2G,2,802.11g,MCS7,20,7,17.5~22,19.08,-25,-33.6,-2853,PASS
2G,2,802.11g,MCS7,20,8,17.5~22,19.11,-25,-33.6,-2838,PASS
2G,2,802.11g,MCS7,20,9,17.5~22,19.12,-25,-33.7,-2964,PASS
2G,2,802.11g,MCS7,20,10,17.5~22,19.03,-25,-33.7,-3043,PASS
2G,2,802.11g,MCS7,20,11,17.5~22,19.55,-25,-32.9,-2906,PASS
2G,2,802.11g,MCS7,20,12,17.5~22,19.45,-25,-33,-2885,PASS
2G,2,802.11g,MCS7,20,13,17.5~22,19.5,-25,-32.9,-2865,PASS
2G,1,802.11n,MCS7,20,1,17~21.5,19.42,-28,-35,-3060,PASS
2G,1,802.11n,MCS7,20,2,17~21.5,19.24,-28,-35.6,-2829,PASS
2G,1,802.11n,MCS7,20,3,17~21.5,18.62,-28,-35.7,-2950,PASS
2G,1,802.11n,MCS7,20,4,17~21.5,18.48,-28,-36.1,-2963,PASS
2G,1,802.11n,MCS7,20,5,17~21.5,18.35,-28,-36.6,-2944,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.19,-28,-37.3,-2937,PASS
2G,1,802.11n,MCS7,20,7,17~21.5,19.01,-28,-36.2,-2957,PASS
2G,1,802.11n,MCS7,20,8,17~21.5,18.97,-28,-37,-3056,PASS
2G,1,802.11n,MCS7,20,9,17~21.5,18.65,-28,-37.2,-3031,PASS
2G,1,802.11n,MCS7,20,10,17~21.5,18.5,-28,-37.6,-2980,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.56,-28,-36.1,-3067,PASS
2G,1,802.11n,MCS7,20,12,17~21.5,19.3,-28,-36.8,-3058,PASS
2G,1,802.11n,MCS7,20,13,17~21.5,19.09,-28,-37.1,-3116,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,19,-28,-32.9,-2646,PASS
2G,2,802.11n,MCS7,20,2,17~21.5,18.93,-28,-33,-2595,PASS
2G,2,802.11n,MCS7,20,3,17~21.5,18.8,-28,-33.2,-2731,PASS
2G,2,802.11n,MCS7,20,4,17~21.5,18.79,-28,-33.1,-2587,PASS
2G,2,802.11n,MCS7,20,5,17~21.5,18.8,-28,-33.3,-2601,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,18.8,-28,-33.3,-2632,PASS
2G,2,802.11n,MCS7,20,7,17~21.5,18.31,-28,-34,-2542,PASS
2G,2,802.11n,MCS7,20,8,17~21.5,18.35,-28,-34.1,-2696,PASS
2G,2,802.11n,MCS7,20,9,17~21.5,18.46,-28,-34.2,-2642,PASS
2G,2,802.11n,MCS7,20,10,17~21.5,18.43,-28,-34,-2644,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,18.83,-28,-33.3,-2541,PASS
2G,2,802.11n,MCS7,20,12,17~21.5,18.79,-28,-33.3,-2640,PASS
2G,2,802.11n,MCS7,20,13,17~21.5,18.82,-28,-33.1,-2689,PASS
5G,1,802.11g,MCS7,20,184,16~20.5,18.43,-25,-32.2,-5606,PASS
5G,1,802.11g,MCS7,20,36,16~20.5,18.2,-25,-37.9,-5483,PASS
5G,1,802.11g,MCS7,20,40,16~20.5,17.84,-25,-38.2,-5782,PASS
5G,1,802.11g,MCS7,20,44,16~20.5,18.05,-25,-37.6,-5666,PASS
5G,1,802.11g,MCS7,20,48,16~20.5,18.24,-25,-37.5,-5711,PASS
5G,1,802.11g,MCS7,20,52,16~20.5,18.58,-25,-37.6,-6048,PASS
5G,1,802.11g,MCS7,20,56,16~20.5,19.02,-25,-37,-6178,PASS
5G,1,802.11g,MCS7,20,60,16~20.5,18.54,-25,-36.5,-5976,PASS
5G,1,802.11g,MCS7,20,64,16~20.5,18.25,-25,-36.2,-5995,PASS
5G,1,802.11g,MCS7,20,100,16~20.5,18.03,-25,-36.3,-6267,PASS
5G,1,802.11g,MCS7,20,104,16~20.5,18.27,-25,-36.5,-6173,PASS
5G,1,802.11g,MCS7,20,108,16~20.5,18.87,-25,-36.4,-6328,PASS
5G,1,802.11g,MCS7,20,112,16~20.5,18.62,-25,-36.8,-6423,PASS
5G,1,802.11g,MCS7,20,116,16~20.5,18.52,-25,-37.1,-6721,PASS
5G,1,802.11g,MCS7,20,120,16~20.5,17.75,-25,-37.7,-6386,PASS
5G,1,802.11g,MCS7,20,124,16~20.5,17.56,-25,-37.6,-6502,PASS
5G,1,802.11g,MCS7,20,128,16~20.5,16.42,-25,-37.4,-6359,PASS
5G,1,802.11g,MCS7,20,132,16~20.5,16.97,-25,-36.8,-6470,PASS
5G,1,802.11g,MCS7,20,136,16~20.5,18.05,-25,-36.1,-6695,PASS
5G,1,802.11g,MCS7,20,140,16~20.5,17.69,-25,-38.5,-6389,PASS
5G,1,802.11g,MCS7,20,144,16~20.5,18.5,-25,-39.1,-6830,PASS
5G,1,802.11g,MCS7,20,149,16~20.5,18.66,-25,-39,-6759,PASS
5G,1,802.11g,MCS7,20,153,16~20.5,18.59,-25,-40,-6885,PASS
