RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11g,MCS7,20,1,17.5~22,20.59,-25,-27.3,-5130,PASS
2G,1,802.11g,MCS7,20,2,17.5~22,19.96,-25,-28.9,-5199,PASS
2G,1,802.11g,MCS7,20,3,17.5~22,19.63,-25,-28.9,-5227,PASS
2G,1,802.11g,MCS7,20,4,17.5~22,19.53,-25,-28.9,-5199,PASS
2G,1,802.11g,MCS7,20,5,17.5~22,19.5,-25,-28.9,-5225,PASS
2G,1,802.11g,MCS7,20,6,17.5~22,19.4,-25,-29.2,-5247,PASS
2G,1,802.11g,MCS7,20,7,17.5~22,19.83,-25,-27.7,-5349,PASS
2G,1,802.11g,MCS7,20,8,17.5~22,19.69,-25,-28,-5233,PASS
2G,1,802.11g,MCS7,20,9,17.5~22,19.58,-25,-28.2,-5403,PASS
2G,1,802.11g,MCS7,20,10,17.5~22,19.43,-25,-28.5,-5348,PASS
2G,1,802.11g,MCS7,20,11,17.5~22,19.7,-25,-27.6,-5288,PASS
2G,1,802.11g,MCS7,20,12,17.5~22,19.58,-25,-28,-5409,PASS
2G,1,802.11g,MCS7,20,13,17.5~22,19.38,-25,-28.5,-5333,PASS
2G,2,802.11g,MCS7,20,1,17.5~22,20.77,-25,-27.8,-5317,PASS
2G,2,802.11g,MCS7,20,2,17.5~22,20.8,-25,-27.5,-5204,PASS
2G,2,802.11g,MCS7,20,3,17.5~22,20.56,-25,-27.3,-5253,PASS
2G,2,802.11g,MCS7,20,4,17.5~22,20.54,-25,-27.1,-5312,PASS
2G,2,802.11g,MCS7,20,5,17.5~22,20.57,-25,-26.9,-5223,PASS
2G,2,802.11g,MCS7,20,6,17.5~22,20.58,-25,-26.6,-5276,PASS
2G,2,802.11g,MCS7,20,7,17.5~22,20.16,-25,-28.2,-5298,PASS
2G,2,802.11g,MCS7,20,8,17.5~22,20.13,-25,-28.2,-5284,PASS
2G,2,802.11g,MCS7,20,9,17.5~22,20.04,-25,-28.1,-5338,PASS
2G,2,802.11g,MCS7,20,10,17.5~22,19.98,-25,-28.5,-5328,PASS
2G,2,802.11g,MCS7,20,11,17.5~22,20.34,-25,-27.4,-5302,PASS
2G,2,802.11g,MCS7,20,12,17.5~22,20.24,-25,-27.8,-5274,PASS
2G,2,802.11g,MCS7,20,13,17.5~22,20.11,-25,-28.1,-5323,PASS
2G,1,802.11n,MCS7,20,1,17~21.5,19.39,-28,-31,-5391,PASS
2G,1,802.11n,MCS7,20,2,17~21.5,19.35,-28,-31.2,-5233,PASS
2G,1,802.11n,MCS7,20,3,17~21.5,19.04,-28,-31,-5302,PASS
2G,1,802.11n,MCS7,20,4,17~21.5,18.94,-28,-31.1,-5377,PASS
2G,1,802.11n,MCS7,20,5,17~21.5,18.86,-28,-31.3,-5299,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.82,-28,-31.6,-5390,PASS
2G,1,802.11n,MCS7,20,7,17~21.5,19.21,-28,-29.8,-5355,PASS
2G,1,802.11n,MCS7,20,8,17~21.5,19.13,-28,-30.3,-5358,PASS
2G,1,802.11n,MCS7,20,9,17~21.5,19.03,-28,-30.4,-5330,PASS
2G,1,802.11n,MCS7,20,10,17~21.5,18.91,-28,-30.9,-5425,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.19,-28,-29.8,-5427,PASS
2G,1,802.11n,MCS7,20,12,17~21.5,19.05,-28,-30.1,-5414,PASS
2G,1,802.11n,MCS7,20,13,17~21.5,18.83,-28,-30.3,-5481,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,20.1,-28,-30.1,-4880,PASS
2G,2,802.11n,MCS7,20,2,17~21.5,20.15,-28,-29.2,-4854,PASS
2G,2,802.11n,MCS7,20,3,17~21.5,19.92,-28,-29.2,-4964,PASS
2G,2,802.11n,MCS7,20,4,17~21.5,19.93,-28,-28.9,-4967,PASS
2G,2,802.11n,MCS7,20,5,17~21.5,19.95,-28,-28.8,-4900,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,19.98,-28,-28.7,-4955,PASS
2G,2,802.11n,MCS7,20,7,17~21.5,19.52,-28,-30.6,-4992,PASS
2G,2,802.11n,MCS7,20,8,17~21.5,19.51,-28,-30.5,-4905,PASS
2G,2,802.11n,MCS7,20,9,17~21.5,19.44,-28,-30.3,-4938,PASS
2G,2,802.11n,MCS7,20,10,17~21.5,19.4,-28,-30.7,-4991,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.8,-28,-29.3,-4947,PASS
2G,2,802.11n,MCS7,20,12,17~21.5,19.69,-28,-29.8,-5005,PASS
2G,2,802.11n,MCS7,20,13,17~21.5,19.57,-28,-30.6,-4971,PASS
5G,1,802.11g,MCS7,20,184,16~20.5,19.47,-25,-27.7,-9809,PASS
5G,1,802.11g,MCS7,20,36,16~20.5,19.16,-25,-31.9,-10307,PASS
5G,1,802.11g,MCS7,20,40,16~20.5,18.68,-25,-32.7,-10371,PASS
5G,1,802.11g,MCS7,20,44,16~20.5,19.02,-25,-29.8,-10526,PASS
5G,1,802.11g,MCS7,20,48,16~20.5,19.03,-25,-29.1,-10416,PASS
5G,1,802.11g,MCS7,20,52,16~20.5,19.2,-25,-28.5,-10616,PASS
5G,1,802.11g,MCS7,20,56,16~20.5,19.15,-25,-27.9,-10446,PASS
5G,1,802.11g,MCS7,20,60,16~20.5,18.89,-25,-27,-10627,PASS
5G,1,802.11g,MCS7,20,64,16~20.5,18.21,-25,-27.8,-10657,PASS
5G,1,802.11g,MCS7,20,100,16~20.5,19.58,-25,-28.8,-10976,PASS
5G,1,802.11g,MCS7,20,104,16~20.5,19.83,-25,-29.4,-10997,PASS
5G,1,802.11g,MCS7,20,108,16~20.5,18.47,-25,-33.7,-11081,PASS
5G,1,802.11g,MCS7,20,112,16~20.5,18.39,-25,-34.8,-11271,PASS
5G,1,802.11g,MCS7,20,116,16~20.5,18.35,-25,-36.3,-11065,PASS
5G,1,802.11g,MCS7,20,120,16~20.5,17.54,-25,-36.9,-11279,PASS
5G,1,802.11g,MCS7,20,124,16~20.5,17.33,-25,-37.6,-11436,PASS
5G,1,802.11g,MCS7,20,128,16~20.5,19.05,-25,-30,-11240,PASS
5G,1,802.11g,MCS7,20,132,16~20.5,18.71,-25,-29.5,-11395,PASS
5G,1,802.11g,MCS7,20,136,16~20.5,18.95,-25,-28.5,-11520,PASS
5G,1,802.11g,MCS7,20,140,16~20.5,19.67,-25,-26.9,-11619,PASS
5G,1,802.11g,MCS7,20,144,16~20.5,20.03,-25,-27.4,-11590,PASS
5G,1,802.11g,MCS7,20,149,16~20.5,18.6,-25,-33,-11570,PASS
5G,1,802.11g,MCS7,20,153,16~20.5,18.52,-25,-34,-11829,PASS
5G,1,802.11g,MCS7,20,157,16~20.5,18.67,-25,-35.1,-11800,PASS
5G,1,802.11g,MCS7,20,161,16~20.5,18.41,-25,-35.8,-11818,PASS
5G,1,802.11g,MCS7,20,165,16~20.5,19.19,-25,-34.9,-11906,PASS
5G,2,802.11g,MCS7,20,184,16~20.5,19.62,-25,-29.1,-10019,PASS
5G,2,802.11g,MCS7,20,36,16~20.5,19.47,-25,-27.2,-10528,PASS
5G,2,802.11g,MCS7,20,40,16~20.5,18.92,-25,-26.7,-10434,PASS
5G,2,802.11g,MCS7,20,44,16~20.5,19.26,-25,-23.7,-10666,FAIL
5G,2,802.11g,MCS7,20,48,16~20.5,19.33,-25,-23.6,-10648,FAIL
5G,2,802.11g,MCS7,20,52,16~20.5,19.69,-25,-24.1,-10708,FAIL
5G,2,802.11g,MCS7,20,56,16~20.5,19.78,-25,-24.5,-10762,FAIL
5G,2,802.11g,MCS7,20,60,16~20.5,20.41,-25,-22.5,-10732,FAIL
5G,2,802.11g,MCS7,20,64,16~20.5,20.24,-25,-23.2,-10814,FAIL
5G,2,802.11g,MCS7,20,100,16~20.5,19.59,-25,-31.7,-11154,PASS
5G,2,802.11g,MCS7,20,104,16~20.5,19.72,-25,-33.9,-11212,PASS
5G,2,802.11g,MCS7,20,108,16~20.5,18.92,-25,-33.8,-11312,PASS
5G,2,802.11g,MCS7,20,112,16~20.5,18.14,-25,-33.9,-11401,PASS
5G,2,802.11g,MCS7,20,116,16~20.5,17.53,-25,-33.1,-11442,PASS
5G,2,802.11g,MCS7,20,120,16~20.5,16.97,-25,-33.3,-11342,PASS
5G,2,802.11g,MCS7,20,124,16~20.5,16.93,-25,-33,-11494,PASS
5G,2,802.11g,MCS7,20,128,16~20.5,18.49,-25,-28,-11492,PASS
5G,2,802.11g,MCS7,20,132,16~20.5,18.35,-25,-29.2,-11515,PASS
5G,2,802.11g,MCS7,20,136,16~20.5,18.45,-25,-31.2,-11731,PASS
5G,2,802.11g,MCS7,20,140,16~20.5,18.81,-25,-32.5,-11839,PASS
5G,2,802.11g,MCS7,20,144,16~20.5,19.08,-25,-32.8,-11736,PASS
5G,2,802.11g,MCS7,20,149,16~20.5,19.21,-25,-32.8,-11836,PASS
5G,2,802.11g,MCS7,20,153,16~20.5,19.04,-25,-33.1,-11855,PASS
5G,2,802.11g,MCS7,20,157,16~20.5,18.91,-25,-33.6,-11917,PASS
5G,2,802.11g,MCS7,20,161,16~20.5,19.02,-25,-30.6,-12146,PASS
5G,2,802.11g,MCS7,20,165,16~20.5,18.15,-25,-33.1,-11953,PASS
5G,1,802.11n,MCS7,20,184,15~19.5,18.6,-28,-32.5,-10107,PASS
5G,1,802.11n,MCS7,20,36,15~19.5,18.08,-28,-35.8,-10550,PASS
5G,1,802.11n,MCS7,20,40,15~19.5,17.71,-28,-36.7,-10694,PASS
5G,1,802.11n,MCS7,20,44,15~19.5,18.29,-28,-33.4,-10597,PASS
5G,1,802.11n,MCS7,20,48,15~19.5,18.25,-28,-33.4,-10677,PASS
5G,1,802.11n,MCS7,20,52,15~19.5,18.24,-28,-33.2,-10728,PASS
5G,1,802.11n,MCS7,20,56,15~19.5,18.01,-28,-33.2,-10813,PASS
5G,1,802.11n,MCS7,20,60,15~19.5,18.07,-28,-31,-10826,PASS
5G,1,802.11n,MCS7,20,64,15~19.5,17.36,-28,-31.7,-10942,PASS
5G,1,802.11n,MCS7,20,100,15~19.5,18.57,-28,-34.3,-11299,PASS
5G,1,802.11n,MCS7,20,104,15~19.5,18.84,-28,-34.2,-11347,PASS
5G,1,802.11n,MCS7,20,108,15~19.5,17.37,-28,-37.4,-11335,PASS
5G,1,802.11n,MCS7,20,112,15~19.5,17.35,-28,-36.8,-11543,PASS
5G,1,802.11n,MCS7,20,116,15~19.5,17.26,-28,-37.2,-11533,PASS
5G,1,802.11n,MCS7,20,120,15~19.5,16.58,-28,-37.3,-11454,PASS
5G,1,802.11n,MCS7,20,124,15~19.5,16.27,-28,-37.9,-11723,PASS
5G,1,802.11n,MCS7,20,128,15~19.5,18.03,-28,-35,-11675,PASS
5G,1,802.11n,MCS7,20,132,15~19.5,17.75,-28,-34.3,-11825,PASS
5G,1,802.11n,MCS7,20,136,15~19.5,17.8,-28,-33.6,-11681,PASS
5G,1,802.11n,MCS7,20,140,15~19.5,18.66,-28,-31.6,-11826,PASS
5G,1,802.11n,MCS7,20,144,15~19.5,19.04,-28,-31.5,-11875,PASS
5G,1,802.11n,MCS7,20,149,15~19.5,17.51,-28,-36,-11982,PASS
5G,1,802.11n,MCS7,20,153,15~19.5,17.39,-28,-35.7,-12033,PASS
5G,1,802.11n,MCS7,20,157,15~19.5,17.65,-28,-35.7,-12021,PASS
5G,1,802.11n,MCS7,20,161,15~19.5,17.12,-28,-36.1,-11988,PASS
5G,1,802.11n,MCS7,20,165,15~19.5,18.02,-28,-35.9,-12179,PASS
5G,2,802.11n,MCS7,20,184,15~19.5,18.65,-28,-33.8,-10026,PASS
5G,2,802.11n,MCS7,20,36,15~19.5,18.24,-28,-31.5,-10581,PASS
5G,2,802.11n,MCS7,20,40,15~19.5,18,-28,-31,-10813,PASS
5G,2,802.11n,MCS7,20,44,15~19.5,18.42,-28,-27.2,-10661,FAIL
5G,2,802.11n,MCS7,20,48,15~19.5,18.5,-28,-27,-10672,FAIL
5G,2,802.11n,MCS7,20,52,15~19.5,18.64,-28,-28,-10847,PASS
5G,2,802.11n,MCS7,20,56,15~19.5,18.78,-28,-28.3,-10958,PASS
5G,2,802.11n,MCS7,20,60,15~19.5,19.53,-28,-25.4,-10856,FAIL
5G,2,802.11n,MCS7,20,64,15~19.5,19.2,-28,-26.4,-11004,FAIL
5G,2,802.11n,MCS7,20,100,15~19.5,18.39,-28,-37.2,-11359,PASS
5G,2,802.11n,MCS7,20,104,15~19.5,18.54,-28,-37.2,-11514,PASS
5G,2,802.11n,MCS7,20,108,15~19.5,17.74,-28,-37.8,-11471,PASS
5G,2,802.11n,MCS7,20,112,15~19.5,16.94,-28,-37.8,-11625,PASS
5G,2,802.11n,MCS7,20,116,15~19.5,16.43,-28,-38,-11620,PASS
5G,2,802.11n,MCS7,20,120,15~19.5,15.91,-28,-38,-11483,PASS
5G,2,802.11n,MCS7,20,124,15~19.5,15.84,-28,-37.7,-11759,PASS
5G,2,802.11n,MCS7,20,128,15~19.5,17.41,-28,-32.3,-11642,PASS
5G,2,802.11n,MCS7,20,132,15~19.5,17.16,-28,-34.4,-11598,PASS
5G,2,802.11n,MCS7,20,136,15~19.5,17.25,-28,-35.7,-11847,PASS
5G,2,802.11n,MCS7,20,140,15~19.5,17.42,-28,-36.3,-11660,PASS
5G,2,802.11n,MCS7,20,144,15~19.5,17.91,-28,-36.4,-11771,PASS
5G,2,802.11n,MCS7,20,149,15~19.5,17.9,-28,-36.8,-11956,PASS
5G,2,802.11n,MCS7,20,153,15~19.5,17.96,-28,-37.3,-12054,PASS
5G,2,802.11n,MCS7,20,157,15~19.5,17.76,-28,-37.6,-12139,PASS
5G,2,802.11n,MCS7,20,161,15~19.5,17.83,-28,-36.7,-12015,PASS
5G,2,802.11n,MCS7,20,165,15~19.5,16.74,-28,-37.7,-12205,PASS
5G,1,802.11ac,MCS0,20,184,19.5~24,19.9,-5,-16.1,-9951,PASS
5G,1,802.11ac,MCS0,20,36,19.5~24,21.59,-5,-24.4,-10375,PASS
5G,1,802.11ac,MCS0,20,40,19.5~24,21.1,-5,-25.5,-10475,PASS
5G,1,802.11ac,MCS0,20,44,19.5~24,21.49,-5,-22.9,-10590,PASS
5G,1,802.11ac,MCS0,20,48,19.5~24,21.34,-5,-22.9,-10675,PASS
5G,1,802.11ac,MCS0,20,52,19.5~24,21.36,-5,-22.6,-10772,PASS
5G,1,802.11ac,MCS0,20,56,19.5~24,21.2,-5,-22.1,-10767,PASS
5G,1,802.11ac,MCS0,20,60,19.5~24,21.02,-5,-20.9,-10888,PASS
5G,1,802.11ac,MCS0,20,64,19.5~24,20.41,-5,-21.2,-10852,PASS
