RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11g,MCS7,20,1,17.5~22,19.98,-25,-28.8,805,PASS
2G,1,802.11g,MCS7,20,2,17.5~22,19.89,-25,-28.8,821,PASS
2G,1,802.11g,MCS7,20,3,17.5~22,19.51,-25,-28.6,852,PASS
2G,1,802.11g,MCS7,20,4,17.5~22,19.42,-25,-28.7,746,PASS
2G,1,802.11g,MCS7,20,5,17.5~22,19.32,-25,-28.9,732,PASS
2G,1,802.11g,MCS7,20,6,17.5~22,19.2,-25,-29.2,804,PASS
2G,1,802.11g,MCS7,20,7,17.5~22,19.57,-25,-27.8,769,PASS
2G,1,802.11g,MCS7,20,8,17.5~22,19.42,-25,-28.1,816,PASS
2G,1,802.11g,MCS7,20,9,17.5~22,19.29,-25,-28.3,861,PASS
2G,1,802.11g,MCS7,20,10,17.5~22,19.12,-25,-28.8,808,PASS
2G,1,802.11g,MCS7,20,11,17.5~22,19.8,-25,-26.6,846,PASS
2G,1,802.11g,MCS7,20,12,17.5~22,19.63,-25,-27.1,851,PASS
2G,1,802.11g,MCS7,20,13,17.5~22,19.42,-25,-27.5,807,PASS
2G,2,802.11g,MCS7,20,1,17.5~22,19.76,-25,-30.4,699,PASS
2G,2,802.11g,MCS7,20,2,17.5~22,19.82,-25,-30,782,PASS
2G,2,802.11g,MCS7,20,3,17.5~22,19.56,-25,-29.6,795,PASS
2G,2,802.11g,MCS7,20,4,17.5~22,19.57,-25,-29.1,806,PASS
2G,2,802.11g,MCS7,20,5,17.5~22,19.59,-25,-29.1,800,PASS
2G,2,802.11g,MCS7,20,6,17.5~22,19.64,-25,-28.8,797,PASS
2G,2,802.11g,MCS7,20,7,17.5~22,19.67,-25,-28.9,758,PASS
2G,2,802.11g,MCS7,20,8,17.5~22,19.62,-25,-28.8,849,PASS
2G,2,802.11g,MCS7,20,9,17.5~22,19.59,-25,-28.9,862,PASS
2G,2,802.11g,MCS7,20,10,17.5~22,19.54,-25,-28.8,848,PASS
2G,2,802.11g,MCS7,20,11,17.5~22,19.45,-25,-29.1,912,PASS
2G,2,802.11g,MCS7,20,12,17.5~22,19.4,-25,-29.3,820,PASS
2G,2,802.11g,MCS7,20,13,17.5~22,19.32,-25,-29.7,806,PASS
2G,1,802.11n,MCS7,20,1,17~21.5,19.4,-28,-31.1,713,PASS
2G,1,802.11n,MCS7,20,2,17~21.5,19.32,-28,-30.6,761,PASS
2G,1,802.11n,MCS7,20,3,17~21.5,18.97,-28,-31,741,PASS
