RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,18.94,-28,-35.2,833,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.27,-28,-35.8,770,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.32,-28,-34.9,829,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,18.8,-28,-34.4,1063,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,18.67,-28,-35.3,1140,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.06,-28,-35.1,1150,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,20.69,-5,-35.4,2485,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.89,-5,-33.6,2288,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.64,-5,-27,2476,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,20.91,-5,-35.7,2306,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,22.53,-5,-29.7,2400,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,20.54,-5,-32.9,2331,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,15.97,-32,-38.6,2147,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,17.28,-32,-39.4,2148,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,17.02,-32,-38.5,2232,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,15.95,-32,-38.1,2183,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.97,-32,-39.2,2207,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,16.04,-32,-39.4,2264,PASS
