RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,20.03,-28,-29.3,-4374,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,19.53,-28,-29.6,-4453,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.6,-28,-28.7,-4459,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,20.4,-28,-29,-3945,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,20.38,-28,-27.5,-4005,FAIL
2G,2,802.11n,MCS7,20,11,17~21.5,20.28,-28,-28.2,-3992,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,21.87,-5,-22.1,-8041,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.7,-5,-23,-8659,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,22.01,-5,-24.7,-9210,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,21.9,-5,-20.1,-8048,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,22,-5,-26.3,-8961,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,22,-5,-24.9,-9227,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,17.58,-32,-36.1,-8221,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,17.47,-32,-36.8,-8996,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,17.48,-32,-34.7,-9399,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,17.83,-32,-34.8,-8362,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.53,-32,-36.6,-9084,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,17.42,-32,-37.3,-9422,PASS
