RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,17.96,-28,-35.6,1127,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,17.47,-28,-36.6,1214,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,18.42,-28,-32.7,1205,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,17.89,-28,-37.8,1521,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,17.92,-28,-36.7,1575,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,18.34,-28,-35,1634,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,20.99,-5,-24.8,4085,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,20.89,-5,-24.4,4525,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.1,-5,-26.8,4814,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,20.6,-5,-24.1,4473,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,22.14,-5,-26,3651,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,20.69,-5,-29.6,3849,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,16.46,-32,-37.9,3381,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,16.71,-32,-36.9,3626,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,16.58,-32,-35.2,3794,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,16.25,-32,-38.4,3518,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.44,-32,-36.9,3506,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,15.83,-32,-37.7,3815,PASS
