RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,19.45,-28,-30.9,-8033,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.68,-28,-31.5,-8178,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,18.9,-28,-30,-8143,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,19.32,-28,-31.6,-7632,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,19.33,-28,-30.4,-7715,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.28,-28,-30.5,-7744,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,21.96,-5,-23.5,-15990,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.35,-5,-26.6,-17185,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.61,-5,-28.2,-18060,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,22,-5,-20.9,-16103,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,21.79,-5,-27.8,-17289,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,21.96,-5,-25.6,-18049,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,17.48,-32,-36.8,-16296,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,16.9,-32,-36.7,-17436,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,16.8,-32,-35.5,-18164,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,17.96,-32,-35,-16217,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.27,-32,-36.9,-17363,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,17.34,-32,-37.2,-18101,PASS
