RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,19.46,-28,-32,-8861,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.83,-28,-32,-8971,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.18,-28,-30.7,-8915,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,19.3,-28,-32.4,-8548,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,19.7,-28,-29.4,-8648,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.56,-28,-29.9,-8721,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,21.4,-5,-22.5,-18111,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,20.7,-5,-25.6,-19406,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.2,-5,-27.1,-20315,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,21.45,-5,-20,-18254,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,21.43,-5,-27.3,-19617,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,21.31,-5,-26.1,-20424,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,17.06,-32,-36.7,-18387,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,16.15,-32,-37.7,-19575,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,16.39,-32,-35.1,-20689,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,17.35,-32,-35.4,-18383,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,16.62,-32,-37.2,-19684,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,16.55,-32,-37.2,-20461,PASS
