RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,20.35,-28,-29.4,-5467,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,18.96,-28,-32.3,-5570,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.59,-28,-29.8,-5728,PASS
2G,2,802.11n,MCS7,20,1,17~21.5,19.86,-28,-30.4,-5255,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,19.64,-28,-29.8,-5390,PASS
2G,2,802.11n,MCS7,20,11,17~21.5,19.77,-28,-28.9,-5337,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,22.04,-5,-24.5,-10857,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.95,-5,-23.4,-11975,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,21.88,-5,-26.4,-12630,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,21.52,-5,-18.4,-11239,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,20.51,-5,-17.5,-12170,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,22.17,-5,-23.2,-12753,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,17.68,-32,-36.6,-11456,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,17.8,-32,-36.9,-12418,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,17.27,-32,-35.4,-12976,PASS
5G,2,802.11ac,MCS9,80,42,14~18.5,17.79,-32,-32.9,-11646,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.47,-32,-36.8,-12424,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,17.62,-32,-36.3,-12904,PASS
