RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,20.01,-28,-26.89,-2769.16,FAIL
2G,1,802.11n,MCS7,20,6,17~21.5,19.22,-28,-27.05,-2756.4,FAIL
2G,1,802.11n,MCS7,20,11,17~21.5,19.66,-28,-26.07,-2763.02,FAIL
2G,2,802.11n,MCS7,20,1,17~21.5,19.87,-28,-29.48,-2776.26,PASS
2G,2,802.11n,MCS7,20,6,17~21.5,20.02,-28,-27.09,-2772.48,FAIL
2G,2,802.11n,MCS7,20,11,17~21.5,19.85,-28,-28.42,-2770.75,PASS
5G,1,802.11ac,MCS0,80,42,19~23.5,21.92,-5,-16.06,-5651.19,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.59,-5,-17.98,-6154.79,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,22.08,-5,-19.41,-6430.87,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,22.09,-5,-14.83,-5783.71,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,22.09,-5,-19.9,-6263.73,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,22.07,-5,-19.11,-6498.38,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,18.01,-32,-33.18,-6000.39,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,17.34,-32,-33.76,-6452.01,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,17.59,-32,-31.9,-6695.37,FAIL
5G,2,802.11ac,MCS9,80,42,14~18.5,18.31,-32,-31.87,-5988.15,FAIL
5G,2,802.11ac,MCS9,80,106,14~18.5,17.62,-32,-33.29,-6477.86,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,17.55,-32,-33.09,-6720.35,PASS
