RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,20.14,-28,-28.1,-2747.81,PASS
2G,1,802.11n,MCS7,20,6,17~21.5,19.53,-28,-28.26,-2756.12,PASS
2G,1,802.11n,MCS7,20,11,17~21.5,19.77,-28,-27.3,-2725.68,FAIL
2G,2,802.11n,MCS7,20,1,17~21.5,20.62,-28,-27.16,-2727.38,FAIL
2G,2,802.11n,MCS7,20,6,17~21.5,20.54,-28,-25.71,-2729.65,FAIL
2G,2,802.11n,MCS7,20,11,17~21.5,20.6,-28,-26.22,-2718.12,FAIL
5G,1,802.11ac,MCS0,80,42,19~23.5,21.92,-5,-16.52,-5563.25,PASS
5G,1,802.11ac,MCS0,80,106,19~23.5,21.56,-5,-18.14,-6061.84,PASS
5G,1,802.11ac,MCS0,80,155,19~23.5,22.07,-5,-19.88,-6356.01,PASS
5G,2,802.11ac,MCS0,80,42,19~23.5,22.03,-5,-15.51,-5736.59,PASS
5G,2,802.11ac,MCS0,80,106,19~23.5,21.94,-5,-20.99,-6184.16,PASS
5G,2,802.11ac,MCS0,80,155,19~23.5,22.05,-5,-20.06,-6443.71,PASS
5G,1,802.11ac,MCS9,80,42,14~18.5,18.09,-32,-32.97,-5930.94,PASS
5G,1,802.11ac,MCS9,80,106,14~18.5,17.45,-32,-33.73,-6293.97,PASS
5G,1,802.11ac,MCS9,80,155,14~18.5,17.65,-32,-31.2,-6579.55,FAIL
5G,2,802.11ac,MCS9,80,42,14~18.5,18.14,-32,-33.56,-5929.63,PASS
5G,2,802.11ac,MCS9,80,106,14~18.5,17.46,-32,-33.74,-6398.36,PASS
5G,2,802.11ac,MCS9,80,155,14~18.5,17.49,-32,-33.85,-6602.03,PASS
