RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,19.5,-28,-32.2,-8583,FAIL
2G,1,802.11n,MCS7,20,6,17~21.5,18.87,-28,-31.8,-8664,FAIL
2G,1,802.11n,MCS7,20,11,17~21.5,19.22,-28,-30.6,-8690,FAIL
2G,2,802.11n,MCS7,20,1,17~21.5,19.37,-28,-31.6,-8139,FAIL
2G,2,802.11n,MCS7,20,6,17~21.5,19.76,-28,-29.2,-8235,FAIL
2G,2,802.11n,MCS7,20,11,17~21.5,19.64,-28,-29.8,-8285,FAIL
5G,1,802.11ac,MCS0,80,42,19~23.5,21.39,-5,-22.4,-17378,FAIL
5G,1,802.11ac,MCS0,80,106,19~23.5,20.89,-5,-25,-18616,FAIL
5G,1,802.11ac,MCS0,80,155,19~23.5,21.26,-5,-26.7,-19523,FAIL
5G,2,802.11ac,MCS0,80,42,19~23.5,21.57,-5,-19.7,-17428,FAIL
5G,2,802.11ac,MCS0,80,106,19~23.5,21.44,-5,-27.2,-18742,FAIL
5G,2,802.11ac,MCS0,80,155,19~23.5,21.41,-5,-25.7,-19504,FAIL
5G,1,802.11ac,MCS9,80,42,14~18.5,17.14,-32,-37.7,-17492,FAIL
5G,1,802.11ac,MCS9,80,106,14~18.5,16.19,-32,-37.6,-18839,FAIL
5G,1,802.11ac,MCS9,80,155,14~18.5,16.45,-32,-35,-19595,FAIL
5G,2,802.11ac,MCS9,80,42,14~18.5,17.49,-32,-34.4,-17622,FAIL
5G,2,802.11ac,MCS9,80,106,14~18.5,16.76,-32,-37.2,-18863,FAIL
5G,2,802.11ac,MCS9,80,155,14~18.5,16.67,-32,-36.8,-19654,FAIL
