RANGEFREQ,ANTEN,WIFI,RATE,BANDWIDTH,CHANNEL,POWER-LIMIT,POWER-ACTUAL,EVM-MAX,EVM-ACTUAL,FREQ-ERROR,RESULT
2G,1,802.11n,MCS7,20,1,17~21.5,20.17,-28,-28.05,-5180.65,FAIL
2G,1,802.11n,MCS7,20,6,17~21.5,18.67,-28,-30.9,-5218.65,FAIL
2G,1,802.11n,MCS7,20,11,17~21.5,19.45,-28,-28.51,-5275.57,FAIL
2G,2,802.11n,MCS7,20,1,17~21.5,19.92,-28,-29.38,-5184.72,FAIL
2G,2,802.11n,MCS7,20,6,17~21.5,19.64,-28,-28.58,-5207.35,FAIL
2G,2,802.11n,MCS7,20,11,17~21.5,19.91,-28,-28.11,-5252.58,FAIL
5G,1,802.11ac,MCS0,80,42,19~23.5,21.94,-5,-17.98,-10843.55,FAIL
5G,1,802.11ac,MCS0,80,106,19~23.5,21.67,-5,-19.21,-11007.82,FAIL
5G,1,802.11ac,MCS0,80,155,19~23.5,21.64,-5,-21.23,-11752.58,FAIL
5G,2,802.11ac,MCS0,80,42,19~23.5,21.49,-5,-14.42,-10849.23,FAIL
5G,2,802.11ac,MCS0,80,106,19~23.5,21.56,-5,-20.06,-12554.06,FAIL
5G,2,802.11ac,MCS0,80,155,19~23.5,21.94,-5,-18.8,-13120.74,FAIL
5G,1,802.11ac,MCS9,80,42,14~18.5,17.71,-32,-33.59,-11946.28,FAIL
5G,1,802.11ac,MCS9,80,106,14~18.5,17.47,-32,-33.42,-12703.12,FAIL
5G,1,802.11ac,MCS9,80,155,14~18.5,17.14,-32,-32.18,-13204.29,FAIL
5G,2,802.11ac,MCS9,80,42,14~18.5,17.87,-32,-30.84,-11767.29,FAIL
5G,2,802.11ac,MCS9,80,106,14~18.5,17.18,-32,-33.41,-12309.05,FAIL
5G,2,802.11ac,MCS9,80,155,14~18.5,17.43,-32,-33.64,-12794.89,FAIL
