DATE-TIME,MAC-ADDRESS,TEST-ANTEN1,TEST-ANTEN2,ERROR-CODE,TOTAL-RESULT
2018/06/08 09:55:22,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:08:39,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:18:44,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:28:46,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:28:56,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:35:05,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:35:17,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:35:27,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:37:46,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 10:55:10,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 11:02:36,00:AA:BB:01:23:40,FAIL,-,,FAIL
2018/06/08 11:03:29,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 11:04:53,00:AA:BB:01:23:40,PASS,PASS,,PASS
2018/06/08 11:14:03,00:AA:BB:01:23:40,-,-,-,-,-,FAIL,-,,FAIL
2018/06/08 11:14:31,00:AA:BB:01:23:40,-,-,-,-,-,FAIL,-,,FAIL
2018/06/08 11:15:05,00:AA:BB:01:23:40,-,-,-,-,-,-,FAIL,,FAIL
