DATE-TIME,MAC-ADDRESS,CALIB-FREQ,CALIB-POWER-2G,CALIB-POWER-5G,TEST-SENS-2G,TEST-SENS-5G,VERIFY-SIGNAL-2G,VERIFY-SIGNAL-5G,ERROR-CODE,TOTAL-RESULT
2018/06/15 09:12:41,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS
2018/06/15 10:06:06,A4:F4:C2:21:56:26,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 11:14:09,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS
2018/06/15 14:55:29,A4:F4:C2:21:55:A2,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 15:18:49,A4:F4:C2:21:55:9F,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 15:36:58,A4:F4:C2:21:55:9F,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 15:56:27,A4:F4:C2:21:55:9C,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS
2018/06/15 16:38:52,A4:F4:C2:21:55:99,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS
2018/06/15 18:04:30,A4:F4:C2:21:55:90,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 18:23:21,A4:F4:C2:21:55:8A,PASS,PASS,PASS,-,-,-,FAIL,,FAIL
2018/06/15 18:35:06,A4:F4:C2:21:55:96,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 18:58:18,00:AA:BB:01:23:40,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 19:16:40,A4:F4:C2:21:55:90,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/06/15 19:36:37,A4:F4:C2:21:55:8A,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,FAIL
