Channel,Freq,Anten1,Anten2
1,2412,19.70,19.65
2,2417,19.61,19.65
3,2422,19.49,19.61
4,2427,19.30,19.44
5,2432,19.09,19.30
6,2437,18.96,19.18
7,2442,19.36,19.68
8,2447,19.29,19.58
9,2452,19.24,17.49
10,2457,19.17,19.48
11,2462,20.01,19.82
12,2467,19.87,19.81
13,2472,19.73,19.73
16,5080,17.85,17.82
34,5170,18.40,18.54
36,5180,18.13,18.16
38,5190,17.85,17.85
40,5200,17.45,17.52
42,5210,17.81,17.82
44,5220,17.75,17.69
46,5230,17.75,17.69
48,5240,17.93,17.85
50,5250,18.23,18.10
52,5260,17.82,17.83
54,5270,18.01,17.94
56,5280,18.05,17.89
58,5290,18.12,18.25
60,5300,18.03,18.13
62,5310,18.05,17.94
64,5320,18.07,18.00
100,5500,18.07,17.88
102,5510,18.13,17.96
104,5520,18.08,17.81
106,5530,18.75,18.45
108,5540,18.70,18.34
110,5550,18.68,18.39
112,5560,18.65,18.36
114,5570,18.41,18.17
116,5580,18.01,17.89
118,5590,18.35,18.01
120,5600,18.22,18.05
122,5610,18.27,18.16
124,5620,18.45,18.52
126,5630,17.84,17.51
128,5640,18.13,17.90
132,5660,18.46,18.42
134,5670,18.55,18.50
136,5680,18.28,18.24
138,5690,17.84,17.69
140,5700,18.26,18.00
142,5710,17.90,17.64
144,5720,17.65,17.33
149,5745,18.28,17.17
151,5755,18.19,17.21
153,5765,18.13,17.29
155,5775,18.09,17.62
157,5785,18.21,18.05
159,5795,18.31,18.31
161,5805,17.91,18.17
165,5825,18.15,17.79
169,5845,17.79,17.45
173,5865,17.35,16.86
184,4920,18.25,17.99
