Channel,Freq,Anten1,Anten2
1,2412,19,19
2,2417,19,19
3,2422,19,19
4,2427,19,19
5,2432,19,19
6,2437,19,19
7,2442,19,19
8,2447,19,19
9,2452,19,19
10,2457,19,19
11,2462,19,19
12,2467,19,19
13,2472,19,19
16,5080,18,18
34,5170,18,18
36,5180,18,18
38,5190,18,18
40,5200,18,18
42,5210,18,18
44,5220,18,18
46,5230,18,18
48,5240,18,18
50,5250,18,18
52,5260,18,18
54,5270,18,18
56,5280,18,18
58,5290,18,18
60,5300,18,18
62,5310,18,18
64,5320,18,18
100,5500,18,18
102,5510,18,18
104,5520,18,18
106,5530,18,18
108,5540,18,18
110,5550,18,18
112,5560,18,18
114,5570,18,18
116,5580,18,18
118,5590,18,18
120,5600,18,18
122,5610,18,18
124,5620,18,18
126,5630,18,18
128,5640,18,18
132,5660,18,18
134,5670,18,18
136,5680,18,18
138,5690,18,18
140,5700,18,18
142,5710,18,18
144,5720,18,18
149,5745,18,18
151,5755,18,18
153,5765,18,18
155,5775,18,18
157,5785,18,18
159,5795,18,18
161,5805,18,18
165,5825,18,18
169,5845,18,18
173,5865,18,18
184,4920,18,18
