Channel,Freq,Anten1,Anten2
1,2412,19.201,19.068
2,2417,19.193,19.039
3,2422,19.087,19.134
4,2427,19.058,19.178
5,2432,19.031,19.113
6,2437,18.963,19.073
7,2442,19.324,19.536
8,2447,19.262,19.402
9,2452,19.11,19.312
10,2457,19.12,19.417
11,2462,19.49,19.147
12,2467,19.406,19.212
13,2472,19.287,19.117
16,5080,17.803,17.906
34,5170,17.552,17.386
36,5180,17.868,17.726
38,5190,18.011,17.598
40,5200,17.872,17.43
42,5210,18.051,18.052
44,5220,17.867,17.786
46,5230,17.653,17.602
48,5240,17.769,17.679
50,5250,17.896,17.935
52,5260,17.524,17.762
54,5270,17.538,17.745
56,5280,17.466,17.177
58,5290,17.67,17.761
60,5300,17.667,17.751
62,5310,17.882,17.975
64,5320,17.879,17.789
100,5500,17.816,17.721
102,5510,17.895,17.999
104,5520,17.831,17.861
106,5530,17.213,17.13
108,5540,17.235,17.227
110,5550,17.49,17.549
112,5560,17.869,17.719
114,5570,17.827,17.744
116,5580,17.84,17.71
118,5590,17.35,17.421
120,5600,17.829,17.844
122,5610,17.811,17.899
124,5620,17.769,17.823
126,5630,19.442,19.433
128,5640,19.048,19.091
132,5660,18.237,18.321
134,5670,17.957,18.161
136,5680,17.747,17.881
138,5690,17.375,17.741
140,5700,17.683,17.692
142,5710,17.644,17.679
144,5720,17.722,18.172
149,5745,18.454,18.407
151,5755,18.438,18.503
153,5765,18.472,18.164
155,5775,18.074,17.823
157,5785,18.048,17.857
159,5795,18.148,17.921
161,5805,17.939,17.204
165,5825,17.734,18.043
169,5845,17.161,17.877
173,5865,17.606,17.687
184,4920,17.579,17.751
