Channel,Freq,Anten1,Anten2
1,2412,19.57,18.978
2,2417,19.898,19.394
3,2422,19.857,19.293
4,2427,19.553,19.818
5,2432,19.696,19.512
6,2437,19.596,19.858
7,2442,19.654,19.199
8,2447,19.802,19.367
9,2452,19.4,18.986
10,2457,19.57,19.467
11,2462,19.259,19.24
12,2467,19.401,19.371
13,2472,19.104,19.46
16,5080,17.912,17.899
34,5170,17.339,17.526
36,5180,17.953,17.716
38,5190,18.131,17.653
40,5200,17.821,17.574
42,5210,17.846,17.898
44,5220,17.862,17.661
46,5230,17.813,17.592
48,5240,17.924,18.054
50,5250,17.81,18.505
52,5260,18.139,17.956
54,5270,18.112,18.105
56,5280,18.351,17.569
58,5290,17.61,17.776
60,5300,17.647,17.84
62,5310,17.947,18.172
64,5320,17.91,18.026
100,5500,18.096,18.069
102,5510,18.345,18.409
104,5520,17.929,18.35
106,5530,17.228,17.078
108,5540,17.35,17.277
110,5550,17.605,17.696
112,5560,17.859,18.134
114,5570,18.184,17.969
116,5580,18.54,18.029
118,5590,17.092,17.376
120,5600,17.602,17.954
122,5610,18.131,18.146
124,5620,18.089,18.048
126,5630,19.787,19.386
128,5640,19.678,19.096
132,5660,19.147,18.731
134,5670,18.727,18.254
136,5680,18.142,18.108
138,5690,18.005,17.86
140,5700,17.923,17.905
142,5710,17.52,17.862
144,5720,17.932,18.338
149,5745,18.164,18.227
151,5755,18.268,18.258
153,5765,18.502,18.024
155,5775,18.164,17.772
157,5785,18.268,17.938
159,5795,18.358,18.201
161,5805,18.169,17.966
165,5825,17.989,17.626
169,5845,17.406,17.662
173,5865,17.756,17.623
184,4920,18.179,18.056
